,osmid,y,x,street_count,highway,ref
40323,6501707711,51.5251309,-0.1744886,3,,
40324,6501707714,51.5247489,-0.1739032,3,,
40325,6501707715,51.5246982,-0.1737729,3,,
40326,6501707716,51.5246136,-0.1740576,1,,
40327,6501707717,51.5250069,-0.1747589,1,,
40328,6502983987,51.5258921,-0.1768282,3,,
40329,6502983989,51.5263839,-0.1767721,3,,
40330,6502983990,51.5263398,-0.1767189,4,,
40331,6502983993,51.5258678,-0.1767993,3,,
40332,6502983997,51.5259042,-0.1761943,1,,
40333,6504576184,51.525286,-0.0874456,3,,
40334,6504788168,51.5039095,-0.1150382,3,,
40335,6505232514,51.5268135,-0.1789525,3,,
40336,6505232517,51.5267069,-0.1788324,3,,
40337,6505307005,51.5275081,-0.1790258,1,,
40338,6505307008,51.5273426,-0.1800978,3,,
40339,6505307010,51.5274258,-0.1798728,3,,
40340,6505307016,51.5277284,-0.179581,1,,
40341,6505620187,51.5034473,-0.1139661,1,,
40342,6505620189,51.5034379,-0.1134141,3,,
40343,6505620191,51.5027235,-0.111874,3,,
40344,6505620193,51.5034676,-0.1135074,3,,
40345,6505620194,51.5028701,-0.1115885,4,,
40346,6505620196,51.5031342,-0.112553,3,,
40347,6505620197,51.5033738,-0.1132093,3,,
40348,6505620201,51.5028078,-0.1119894,3,,
40349,6505620202,51.5034267,-0.1133784,3,,
40350,6505620204,51.5035147,-0.1138628,3,,
40351,6505620206,51.5035678,-0.1138227,4,,
40352,6505620207,51.5035962,-0.1141737,1,,
40353,6505620209,51.5033374,-0.1122972,3,,
40354,6505620210,51.5034384,-0.1139475,1,,
40355,6505620215,51.5026601,-0.1117872,3,,
40356,6505620217,51.5029995,-0.1122547,3,,
40357,6506986690,51.5251542,-0.0872937,3,,
40358,6507516021,51.5279662,-0.179923,1,,
40359,6507516022,51.5286485,-0.180761,3,,
40360,6507516031,51.5284264,-0.1799035,1,,
40361,6507929159,51.5030033,-0.1111736,3,,
40362,6507929161,51.5030877,-0.1112832,3,,
40363,6507929163,51.5028312,-0.110937,1,,
